Subgroup,Category,N,MAE_original,MAE_calibrated,R2_original,R2_calibrated,MeanResidual_original,MeanResidual_calibrated
AgeGroup,50+,788,11.469677925109863,11.481092533003538,0.21967709064483643,0.2206369611584219,-1.4243269353953716,1.0486294708360113
AgeGroup,30-50,811,10.836840629577637,10.772633931685304,0.30086320638656616,0.3066816271741979,0.6518111887460278,0.016927419072956362
AgeGroup,<30,1041,10.120247840881348,10.123311007429699,0.35978323221206665,0.36042787437706947,-0.0005215961811750927,-0.07394692390732513
Sex,Male,2019,10.873796463012695,10.825452839179158,0.2810671329498291,0.28660468900227,-0.2145433443616439,0.265289650331151
Sex,Female,722,10.837203979492188,10.851299765262842,0.3394196033477783,0.33903729817563755,-0.7566548751414317,0.08126582911985172
Employment,Retired,429,13.34713077545166,13.21453983539342,0.1943972110748291,0.20609228428076087,-2.823067269194654,0.9503451387829982
Employment,Unemployed,252,11.318729400634766,11.307481410882982,0.23552238941192627,0.24035164556216537,0.8854588308031597,-0.029528482379452346
Employment,Other,398,10.639788627624512,10.592924507257115,0.23578357696533203,0.23731092449880575,0.5527355131791465,0.04084907514752133
Employment,Employed,1516,10.15814208984375,10.152078838761456,0.3469000458717346,0.3487480785438356,-0.10760828270761193,0.11647352826603646
Employment,Student,146,10.726283073425293,10.727187222229475,0.3053218126296997,0.30571082520790904,-0.3312477853200207,0.008253732224780645
Income,Unknown,1283,11.776871681213379,11.717394407280016,0.261729896068573,0.2667901938302254,-0.9436964104394846,0.041478242777020995
Income,$50k-$100k,292,9.575738906860352,9.569513182692555,0.34818464517593384,0.34748578101998484,-0.43763846608057416,-0.10658927585953412
Income,<$20k,498,10.593705177307129,10.596575685723096,0.31457895040512085,0.3165182359361556,-0.1540013757575468,-0.03893853230732428
Income,$20k-$50k,566,9.683953285217285,9.695801737170756,0.36916857957839966,0.37268125411212505,0.7195123385624835,0.8782440832246978
Income,$100k+,102,10.941474914550781,10.7705329824241,0.21207720041275024,0.2240028466254289,0.27974309874515907,0.9265338597555041
Education,High School or Less,1454,11.137324333190918,11.041446454429163,0.28449922800064087,0.2951282862232568,-0.5740481405384439,0.012882047606133588
Education,Bachelors,457,10.830179214477539,10.944410155853195,0.31017017364501953,0.299275211821721,-0.17660189796589656,0.5675202103921463
Education,Associate,391,10.412166595458984,10.459011413449048,0.36505627632141113,0.3614063398072367,0.32083637909511165,0.8706009598686928
Education,Unknown,247,10.690515518188477,10.743742559754079,0.22864210605621338,0.22461630422145662,-0.20108155296881672,-0.7104559019259263
Education,Graduate,192,10.020203590393066,9.855162770519499,0.2801603078842163,0.29745049089224374,-0.7285137971242269,0.7879381861543902
