domain,permutation,builtin,shap
Demographics,0.018518722057342528,0.08499512,2.404049394477531
Functional_Baseline,0.10617547035217285,0.39781135,12.518364960083623
Injury_Severity,0.03524232506752014,0.06823293,3.1823171499090264
Medical_History,6.164908409118652e-05,0.006038234,0.0975167432688175
Other,0.0481059193611145,0.38423115,6.916179219757836
Temporal,0.09707071185112,0.05869127,5.061838627222182
