Model,Num_Features,Mean_MSE_NCV,Std_MSE_NCV,Mean_MAE_NCV,Std_MAE_NCV,Mean_RMSE_NCV,Std_RMSE_NCV,Mean_R2_NCV,Std_R2_NCV
XGBRegressor,132,244.67162170410157,15.147889683180571,11.345652198791504,0.2439572031419627,15.635864211296461,0.48909619452625,0.28604358434677124,0.014488594025811435
HistGBMRegressor,132,247.08496058691827,14.950931431988252,11.41867038840476,0.2592612332693335,15.713119115712882,0.47807980810822764,0.2788929305713868,0.01713902904663283
LGBMRegressor,132,247.62608674347243,17.204688836273792,11.448666715340206,0.28822617531977185,15.72842254912968,0.5509206606915672,0.27759867630241464,0.020437560741742595
HuberRegressor,132,267.28564033893844,13.736288784355846,11.971687255077548,0.2434318639843806,16.344484701666385,0.4234680860641396,0.21976776271896314,0.00746477497282854
MeanPredictor,132,342.6885904464431,17.230725775215948,14.185857702920007,0.3262352145968563,18.507086880446874,0.4694753002477396,-0.00034817098557970994,0.0003070561726929119
